iter   avgS    lowS%    avgR     lowR      avgC      noC
107 30657.86 0.3453378 30657.86 13705.91 53152.58 0
108 28177.54 0.485012 28177.54 19249.36 46194.18 1
109 29580.32 0.4376355 29580.32 17369.06 56054.99 0
110 23730.7 0.4276166 23730.7 16971.42 38038.94 0
111 27894.58 0.3736521 27894.58 14829.66 50900.58 1
112 33929.31 0.4532925 33929.31 17990.46 60949.27 0
113 26292 0.3779976 26292 15002.12 44692.1 0
114 28166.67 0.3708673 28166.67 14719.13 43736.87 0
115 31726.74 0.4127371 31726.74 16380.88 63079.56 0
116 30287.75 0.3576465 30287.75 14194.42 59157.85 0
117 30072.44 0.3949289 30072.44 15674.1 53561.63 0
118 25133.28 0.3768867 25133.28 14958.03 40352.52 0
119 27096.98 0.3392439 27096.98 13464.05 41903.53 0
120 31267.3 0.438971 31267.3 17422.06 61669.08 0
121 30043.75 0.36622 30043.75 14534.69 59732.93 0
122 29968.95 0.3059364 29968.95 12142.13 40990.3 0
123 27492.75 0.3523879 27492.75 13985.71 42555.56 0
124 23874.93 0.3234478 23874.93 12837.13 40665.08 0
125 31402.44 0.4158428 31402.44 16504.14 63885.32 0
126 29327.15 0.3781502 29327.15 15008.18 58768.55 1
127 26273.84 0.3864069 26273.84 15335.88 44593.23 0
128 28147.55 0.4300859 28147.55 17069.42 36238.29 0
129 26554.12 0.3790854 26554.12 15045.3 27224.19 0
130 29409.39 0.4323607 29409.39 17159.71 45816.86 0
131 31872.44 0.4979785 31872.44 19763.98 58677.48 0
132 33476.91 0.4593209 33476.91 18229.72 69428.51 0
133 28322 0.3267347 28322 12967.58 47396.89 0
134 30241.05 0.3506906 30241.05 13918.35 69868.81 0
135 29990.01 0.3389896 29990.01 13453.96 49026.47 0
136 29111.79 0.3776704 29111.79 14989.14 59392.02 0
137 22937.63 0.2750639 22937.63 10916.85 33921.93 1
138 27480.81 0.4100743 27480.81 16275.2 43137.38 0
139 23724.66 0.3048355 23724.66 12098.44 34535.7 0
140 29109.64 0.4456662 29109.64 17687.78 50659.16 1
141 28554.67 0.3767861 28554.67 14954.04 60236.95 0
142 26379.61 0.4626602 26379.61 18362.25 43951.91 0
143 31591.96 0.3587441 31591.96 14237.98 55059.75 0
144 26794.44 0.362518 26794.44 14387.76 44290.42 0
145 33052.94 0.4156602 33052.94 16496.89 47745.84 0
146 28423.73 0.4013774 28423.73 15930.03 59213.06 0
147 25391.04 0.4440954 25391.04 17625.44 45742.06 0
148 30649.81 0.389528 30649.81 15459.75 53029.51 0
149 28473.94 0.4231056 28473.94 16792.39 57177.95 0
150 29894.33 0.2639375 29894.33 10475.26 54358.26 0
151 31966.51 0.451236 31966.51 17908.84 57185.59 0
152 34349.38 0.4315215 34349.38 17126.4 55819.6 0
153 34405.91 0.4704297 34405.91 18670.61 58317.58 0
154 29508.87 0.4195531 29508.87 16651.39 51574.29 0
155 27089.81 0.3723272 27089.81 14777.08 43525.14 0
156 30554.36 0.3985361 30554.36 15817.26 60963.79 0
157 31264.98 0.5034549 31264.98 19981.32 56055.71 0
158 31176.31 0.4160401 31176.31 16511.97 54544.69 0
159 28721.47 0.3543455 28721.47 14063.41 52185.01 1
160 27946.26 0.3125466 27946.26 12404.48 50713.92 1
161 29477.94 0.3137223 29477.94 12451.14 51813.94 1
162 30252.59 0.4535112 30252.59 17999.14 44051.39 0
163 34901.55 0.3374614 34901.55 13393.31 59280.88 0
164 33609.63 0.4917758 33609.63 19517.8 62155.06 0
165 31045.34 0.3806505 31045.34 15107.41 66078.35 0
166 29141.96 0.3688327 29141.96 14638.38 57367.87 0
167 29846.42 0.3917433 29846.42 15547.67 46742.12 0
168 31628.35 0.5031915 31628.35 19970.87 65993.95 0
169 37200.58 0.4866968 37200.58 19316.22 72961.85 0
170 30201 0.4511976 30201 17907.32 51190.36 0
171 29755.8 0.3768747 29755.8 14957.56 45796.54 0
172 34943.66 0.4956035 34943.66 19669.71 65846.1 0
173 28954.6 0.3862902 28954.6 15331.24 52615.15 0
174 27382.38 0.3924888 27382.38 15577.26 53509.95 1
175 30749.16 0.2761879 30749.16 10961.46 50927.38 0
176 27554.36 0.4585214 27554.36 18197.98 47977.56 0
177 28393.46 0.3550706 28393.46 14092.19 49120.72 1
178 29578.15 0.4240583 29578.15 16830.2 54471.01 0
179 25347.19 0.3946955 25347.19 15664.84 41657.53 0
180 26221.99 0.3894209 26221.99 15455.5 49669.55 0
181 28205.85 0.3259436 28205.85 12936.18 53921.24 0
182 30622.44 0.3537118 30622.44 14038.26 50133.46 0
183 30971.39 0.4483193 30971.39 17793.08 49187.8 0
184 26901.43 0.4511852 26901.43 17906.82 49851.77 0
185 31130.83 0.5007318 31130.83 19873.25 57323.57 0
186 30304.15 0.4032112 30304.15 16002.81 51875.49 0
187 34472.46 0.3751481 34472.46 14889.03 68243.5 0
188 31295.35 0.4430745 31295.35 17584.92 50638.84 0
189 29051.88 0.3801691 29051.88 15088.31 55616.12 0
190 30369.78 0.3049025 30369.78 12101.1 51545.41 0
191 29815.6 0.354479 29815.6 14068.71 62336.38 0
192 27468.37 0.4002211 27468.37 15884.14 49974.5 0
193 28317.12 0.2992086 28317.12 11875.11 43749.44 0
194 27097.29 0.2826558 27097.29 11218.16 43572.38 0
195 29306.52 0.4116928 29306.52 16339.43 55100.39 0
196 34003.96 0.3455974 34003.96 13716.21 57812.8 0
197 29736.28 0.3722712 29736.28 14774.85 40829.74 0
198 31266.68 0.4120633 31266.68 16354.14 58618.73 0
199 29502.76 0.3002061 29502.76 11914.7 52463.16 0
200 30541.36 0.4158054 30541.36 16502.65 49955.67 0
201 24690.21 0.3197956 24690.21 12692.18 33821.25 0
202 34751.43 0.4518985 34751.43 17935.13 70732.33 0
203 25922.01 0.3297145 25922.01 13085.84 31339.36 0
204 29652.19 0.4236802 29652.19 16815.19 53876.6 0
205 28328.73 0.4584416 28328.73 18194.82 53279.75 0
206 29465.81 0.3633504 29465.81 14420.8 50642.79 0
207 26822.71 0.4486291 26822.71 17805.38 37661.53 1
208 31512.68 0.3466513 31512.68 13758.04 60336.95 0
209 28314.19 0.4358174 28314.19 17296.9 50751.19 0
210 25524.99 0.3716698 25524.99 14750.98 41759.17 0
211 33737.72 0.4929905 33737.72 19566.01 60978.67 0
212 27643.12 0.4195441 27643.12 16651.04 49259.31 0
213 25843.12 0.3535439 25843.12 14031.6 38124.76 0
214 29434.47 0.3282138 29434.47 13026.28 44379.71 0
215 29960.28 0.399383 29960.28 15850.87 44907.33 0
216 29735.49 0.2824989 29735.49 11211.93 47703.68 1
217 30045.25 0.3041765 30045.25 12072.28 65740.03 0
218 27348.39 0.3295986 27348.39 13081.24 46403.83 0
219 32708.79 0.5112357 32708.79 20290.13 61421.44 0
220 28952.37 0.3117972 28952.37 12374.73 54205.19 0
221 29292.46 0.4017287 29292.46 15943.97 49001.42 0
222 32742 0.2575702 32742 10222.55 65092.89 0
223 26765.13 0.381592 26765.13 15144.78 40560.62 0
224 26572.02 0.3661853 26572.02 14533.31 53006.4 0
225 26460.67 0.3575225 26460.67 14189.5 47407.57 0
226 27423.95 0.3225726 27423.95 12802.4 51652.49 0
227 27861.23 0.3865151 27861.23 15340.17 42304.19 0
228 29530.16 0.4061239 29530.16 16118.41 51448.98 0
229 33938.23 0.4918554 33938.23 19520.96 57178.43 0
230 22781.18 0.3382978 22781.18 13426.5 34957.73 0
231 26247.83 0.2140222 26247.83 8494.199 37859.31 2
232 25239.44 0.3200347 25239.44 12701.67 41625.91 0
233 25217.75 0.2754166 25217.75 10930.85 40818.67 0
234 31030.8 0.3977662 31030.8 15786.71 55050.15 0
235 33719.65 0.3746738 33719.65 14870.21 68031.85 0
236 28458.68 0.4255182 28458.68 16888.14 44234.65 0
237 32414.39 0.3958153 32414.39 15709.28 54540.99 0
238 24692.35 0.3853627 24692.35 15294.43 38047.65 0
239 27531.8 0.3539625 27531.8 14048.21 48034.97 0
240 30484.14 0.4531807 30484.14 17986.02 50739.6 0
241 27711.48 0.4361777 27711.48 17311.2 47061.46 0
242 29822.02 0.2779568 29822.02 11031.66 54592.28 0
243 34576.82 0.5293741 34576.82 21010.02 79451.6 0
244 31863.17 0.4677869 31863.17 18565.72 57529.74 0
245 31006.52 0.3165072 31006.52 12561.67 57717.02 0
246 27329.3 0.4192301 27329.3 16638.58 46936.07 0
247 29450.61 0.3715725 29450.61 14747.12 54161.68 0
248 30765.04 0.2966806 30765.04 11774.78 56780.62 0
249 32036.15 0.3718456 32036.15 14757.96 65588.48 0
250 23748.8 0.3635553 23748.8 14428.93 39061.23 1
251 25130.57 0.400868 25130.57 15909.81 49084.59 0
252 28445.16 0.3113082 28445.16 12355.33 41314.14 0
253 29839.78 0.3454719 29839.78 13711.23 48147.58 0
254 33833.58 0.4290513 33833.58 17028.36 67896.39 0
255 39240.76 0.5096453 39240.76 20227.01 82890.49 0
256 29869.77 0.3375904 29869.77 13398.43 50342.2 2
257 29489.29 0.4665646 29489.29 18517.21 55676.62 0
258 32797.17 0.3512841 32797.17 13941.91 63790.02 0
259 25410.23 0.4046901 25410.23 16061.51 48736.2 0
260 31689.06 0.451297 31689.06 17911.26 49521.75 0
261 37607.26 0.438556 37607.26 17405.59 78863.34 0
262 29229.55 0.369391 29229.55 14660.54 41236.86 0
263 33809.04 0.3756835 33809.04 14910.28 72788.72 0
264 27953.98 0.3390311 27953.98 13455.61 43954.49 0
265 26386.21 0.274825 26386.21 10907.37 48420.74 1
266 28295.35 0.378485 28295.35 15021.47 53334.08 1
267 27553.04 0.4281432 27553.04 16992.32 45048.94 0
268 29805.68 0.4569544 29805.68 18135.79 54791.38 0
269 34501.02 0.45505 34501.02 18060.21 75829.42 0
270 29979.45 0.3787517 29979.45 15032.05 55754.97 0
271 28203.7 0.3936728 28203.7 15624.25 59248.49 0
272 28520.76 0.3023442 28520.76 11999.56 53182.32 1
273 30247.84 0.347794 30247.84 13803.39 45453.76 0
274 29226.56 0.3255704 29226.56 12921.37 51126.9 1
275 23583.13 0.3672125 23583.13 14574.08 25026.21 1
276 30840.32 0.3733723 30840.32 14818.55 57280.36 0
277 27885.59 0.4301066 27885.59 17070.25 46450.65 1
278 31349.31 0.3504834 31349.31 13910.13 50666.23 0
279 34784.38 0.4077479 34784.38 16182.87 58591.92 0
280 31565.45 0.3877911 31565.45 15390.81 44967.6 0
281 24339.1 0.3231602 24339.1 12825.71 45947.32 1
282 31095.25 0.4090223 31095.25 16233.44 58495.73 0
283 24717.41 0.3234924 24717.41 12838.9 48376.37 0
284 27652.04 0.396659 27652.04 15742.76 36934.54 0
285 30558.91 0.4692817 30558.91 18625.05 55460.97 0
286 28231.89 0.5047155 28231.89 20031.36 46177.61 1
287 33082.78 0.4244156 33082.78 16844.38 65297.01 1
288 29684.26 0.4358113 29684.26 17296.66 51890.3 1
289 27723.62 0.3731821 27723.62 14811 53061.19 0
290 27083.47 0.3573076 27083.47 14180.97 46117.2 0
291 27853.3 0.2830668 27853.3 11234.47 39641.38 0
292 32389.71 0.3883776 32389.71 15414.09 54766.72 0
293 33970.07 0.3559695 33970.07 14127.86 56952.09 0
294 28871.77 0.4355696 28871.77 17287.07 54128.17 0
295 30936.52 0.3664748 30936.52 14544.8 60940.72 0
296 31649.44 0.3737215 31649.44 14832.41 55410.51 1
297 28063.48 0.4855967 28063.48 19272.56 39577.1 1
298 25017.5 0.3446478 25017.5 13678.52 47275.11 0
299 25934.85 0.3587394 25934.85 14237.8 33332.86 1
300 29685.68 0.4027008 29685.68 15982.56 53563.13 0
301 23857.79 0.1833807 23857.79 7278.09 36405.64 1
302 34689.73 0.3995573 34689.73 15857.8 70756.94 0
303 32815.5 0.4973603 32815.5 19739.44 65743.58 0
304 28866.09 0.4091591 28866.09 16238.88 52268.88 0
305 30886.46 0.4239745 30886.46 16826.87 49420.87 0
306 33736.89 0.4330617 33736.89 17187.53 73267.8 0
307 32486.16 0.4207932 32486.16 16700.61 64247.08 0
308 27193.62 0.3577183 27193.62 14197.27 38023.03 0
309 27123.47 0.2993018 27123.47 11878.81 40870.54 0
310 32080.68 0.4296289 32080.68 17051.29 56910.62 0
311 30333 0.325718 30333 12927.23 47069.5 0
312 33469.51 0.3872802 33469.51 15370.53 65019.77 0
313 34956.99 0.4854247 34956.99 19265.74 68918.62 0
314 24702.13 0.4035152 24702.13 16014.88 39866 0
315 32950.77 0.4142425 32950.77 16440.62 73551.09 0
316 25595.74 0.3015705 25595.74 11968.86 44627.3 0
317 26457.45 0.3837441 26457.45 15230.19 52540.07 0
318 33224.71 0.4410614 33224.71 17505.02 62160.44 0
319 26100.79 0.2315799 26100.79 9191.037 50936.23 1
320 32526.35 0.3891791 32526.35 15445.9 63128.11 0
321 31475.65 0.4661778 31475.65 18501.86 63265.93 0
322 31613.37 0.386877 31613.37 15354.53 66783.76 0
323 27168.87 0.3695678 27168.87 14667.56 54708.79 1
324 27091.76 0.3448939 27091.76 13688.29 51984.93 0
325 28551.38 0.4893054 28551.38 19419.75 48597.17 0
326 28634.27 0.4061152 28634.27 16118.07 42218.87 0
327 25074.63 0.3406262 25074.63 13518.91 39809.02 0
328 24088.68 0.3322888 24088.68 13188.01 39081.2 0
329 26048.88 0.4550082 26048.88 18058.55 41218.96 0
330 24796.23 0.4199745 24796.23 16668.12 40268.95 0
331 28283.27 0.3751448 28283.27 14888.9 48631.84 0
332 33785.54 0.4159063 33785.54 16506.66 66112.23 0
333 24222.92 0.2810632 24222.92 11154.95 40800.86 0
334 27164.38 0.3677168 27164.38 14594.1 32626.12 0
335 30619.27 0.3306427 30619.27 13122.68 61127.2 1
336 30242.22 0.4896718 30242.22 19434.29 53808.98 0
337 29030.68 0.3587366 29030.68 14237.69 52496.88 0
338 26355.65 0.4188082 26355.65 16621.83 39146.68 0
339 28808.52 0.457009 28808.52 18137.96 52807.44 0
340 28994.18 0.4058473 28994.18 16107.44 65089.34 0
341 27985.57 0.2316046 27985.57 9192.02 46695.58 0
342 25950.94 0.3007391 25950.94 11935.86 37401.22 0
343 31651.58 0.4587989 31651.58 18209 57742.53 0
344 32725.13 0.3001074 32725.13 11910.78 67818.03 0
345 23354.89 0.3507189 23354.89 13919.48 34140.98 1
346 32427.32 0.3621908 32427.32 14374.78 63278.4 0
347 26640.76 0.3429366 26640.76 13610.61 35995.62 0
348 33166.75 0.3508741 33166.75 13925.64 58656.89 0
349 28431.94 0.5171107 28431.94 20523.3 56069.06 0
350 28133.27 0.3711847 28133.27 14731.73 50392.94 1
351 27348.06 0.2654318 27348.06 10534.57 55261.76 0
352 29537.18 0.4844545 29537.18 19227.23 60184.72 0
353 30221.05 0.4338757 30221.05 17219.84 59387.55 0
354 31630.47 0.2960873 31630.47 11751.24 52961.64 0
355 32790.85 0.4127102 32790.85 16379.81 55027.44 0
356 31898.19 0.3539419 31898.19 14047.39 66617.06 0
357 26090.32 0.2646776 26090.32 10504.63 46054.75 1
358 30733.76 0.4248543 30733.76 16861.79 66694.96 0
359 35108.14 0.4158691 35108.14 16505.18 70432.83 0
360 22767.45 0.3080587 22767.45 12226.36 34609.65 0
361 30022.97 0.4775773 30022.97 18954.28 55176.62 0
362 25780.64 0.3493542 25780.64 13865.31 35539.97 0
363 29318.58 0.4735466 29318.58 18794.31 49496.09 0
364 30224.88 0.4628815 30224.88 18371.03 53895.87 0
365 30659.41 0.4481334 30659.41 17785.7 59632.78 0
366 25839.02 0.3721489 25839.02 14770 39695.33 0
367 27358.8 0.4206363 27358.8 16694.39 46212.14 0
368 33759.91 0.4866255 33759.91 19313.39 57034.52 0
369 28898.18 0.3526902 28898.18 13997.71 48048.67 0
370 34593.66 0.3711068 34593.66 14728.64 59490.64 0
371 31769.19 0.4312834 31769.19 17116.95 50621.44 0
372 26296.07 0.3387426 26296.07 13444.15 47657.19 0
373 32877.34 0.4710098 32877.34 18693.63 67706.2 0
374 28345.76 0.3898593 28345.76 15472.9 50882.85 0
375 31339.43 0.3834597 31339.43 15218.91 58731.71 1
376 24958.02 0.3956649 24958.02 15703.31 40963.94 0
377 31882.57 0.4019097 31882.57 15951.16 62186.73 0
378 28529.9 0.3935921 28529.9 15621.04 58538.25 0
379 28632.15 0.3229195 28632.15 12816.16 47822.92 0
380 33768.91 0.5539955 33768.91 21987.2 62353.52 0
381 35188.43 0.4799166 35188.43 19047.13 65646.08 1
382 33172.76 0.3940495 33172.76 15639.2 65557.23 0
383 29599.78 0.3166035 29599.78 12565.49 53548.59 0
384 33131.33 0.5045705 33131.33 20025.6 67183.23 0
385 28353.62 0.3986842 28353.62 15823.14 51743.73 1
386 29066.17 0.3602043 29066.17 14295.94 56459.25 0
387 30263.01 0.3698821 30263.01 14680.03 50254.15 0
388 30840.85 0.3062873 30840.85 12156.06 71029.08 0
389 27434.99 0.2838619 27434.99 11266.03 44112.44 0
390 33214.94 0.3952445 33214.94 15686.63 56410.37 0
391 23799.94 0.3212247 23799.94 12748.9 39193.58 0
392 23662.44 0.3470525 23662.44 13773.96 26820.95 0
393 28401.95 0.3615173 28401.95 14348.05 49624.53 1
394 31782.07 0.3463326 31782.07 13745.39 64075.83 0
395 31308.63 0.4786262 31308.63 18995.91 47045.29 0
396 31896.73 0.3753502 31896.73 14897.05 67438.73 0
397 24636.13 0.3307221 24636.13 13125.84 32587.27 0
398 34128.15 0.3218091 34128.15 12772.09 55636.52 1
399 34807.32 0.329833 34807.32 13090.55 63175.26 0
400 32150.97 0.4414293 32150.97 17519.63 55425.95 0
401 35148.73 0.4876535 35148.73 19354.19 59074.16 0
402 27381.58 0.3701768 27381.58 14691.73 47093.59 0
403 36095.41 0.4538477 36095.41 18012.49 60690.55 0
404 30856.23 0.4353703 30856.23 17279.15 62433.48 1
405 27320.67 0.3248421 27320.67 12892.47 46047.92 0
406 28040.17 0.3035964 28040.17 12049.26 52181.56 0
407 28346.92 0.3523133 28346.92 13982.75 42248.01 1
408 27429.01 0.3483326 27429.01 13824.77 47119.53 0
409 29011.01 0.4490769 29011.01 17823.15 53122.3 0
410 27373.34 0.3819853 27373.34 15160.39 47951.5 0
411 26451.33 0.4289396 26451.33 17023.93 38009.84 0
412 27585.29 0.4591389 27585.29 18222.49 42679.9 0
413 28765.56 0.3993816 28765.56 15850.82 44390.78 0
414 24215.72 0.3017377 24215.72 11975.49 34945.13 0
415 32796.38 0.4282078 32796.38 16994.89 53003.33 0
416 25866.55 0.4125401 25866.55 16373.06 47568.67 0
417 33929.34 0.4797736 33929.34 19041.45 78318.95 0
418 28074.12 0.421907 28074.12 16744.82 56438.31 0
419 32582.44 0.3718603 32582.44 14758.54 58382.19 0
420 37199.25 0.4075235 37199.25 16173.96 70970.63 0
421 29173.7 0.4527796 29173.7 17970.1 58083.94 0
422 26463.79 0.4372221 26463.79 17352.65 51949.02 0
423 27935.06 0.4041865 27935.06 16041.52 50785.63 0
424 32715.31 0.4942128 32715.31 19614.52 62437.84 0
425 30490.47 0.4434206 30490.47 17598.66 42975.54 0
426 26501.91 0.4534854 26501.91 17998.11 49252.58 0
427 28540.8 0.4437431 28540.8 17611.46 44030.2 0
428 26456.75 0.3813293 26456.75 15134.35 39817.78 0
429 25321.78 0.3452536 25321.78 13702.57 32468.63 0
430 33676.44 0.4899543 33676.44 19445.51 61032.01 0
431 32801.13 0.4169584 32801.13 16548.41 70131.22 0
432 34289.35 0.3833468 34289.35 15214.43 68775.78 1
433 29073.26 0.3784604 29073.26 15020.49 51199.19 1
434 27153.64 0.3763122 27153.64 14935.23 42277.55 0
435 24490.05 0.2172122 24490.05 8620.809 36621.08 1
436 33477.81 0.4302713 33477.81 17076.78 70182.83 0
437 30345.98 0.3549123 30345.98 14085.91 59171.32 0
438 30412.06 0.3313249 30412.06 13149.76 56513.56 0
439 31772.83 0.4135122 31772.83 16411.64 55572.69 0
440 27199.63 0.4355479 27199.63 17286.2 48932.7 0
441 28518.48 0.3610316 28518.48 14328.77 46846.28 0
442 31688.24 0.3303936 31688.24 13112.8 55760.15 0
443 29845.1 0.4505062 29845.1 17879.87 48468.04 0
444 27550.34 0.3958283 27550.34 15709.8 44523.6 1
445 28598.49 0.2606923 28598.49 10346.46 54122.01 0
446 27252 0.4164382 27252 16527.77 49745.91 0
447 32151.06 0.3972442 32151.06 15765.99 56047.43 0
448 34917.07 0.5007096 34917.07 19872.37 61893 0
449 33212.58 0.3857758 33212.58 15310.83 53237.95 0
450 27425.63 0.3689591 27425.63 14643.4 41334.32 1
451 30764.08 0.2787059 30764.08 11061.4 56885.29 0
452 29696.37 0.4143199 29696.37 16443.7 65177.49 0
453 23428.04 0.3533887 23428.04 14025.44 43587.63 0
454 26650.15 0.3660447 26650.15 14527.73 49041.27 0
455 31948.64 0.3917921 31948.64 15549.6 56899.71 0
456 32204.25 0.431345 32204.25 17119.4 72916.25 0
457 26232.14 0.3831504 26232.14 15206.63 38270.93 0
458 32489.05 0.4920402 32489.05 19528.3 50174.9 0
459 32224.08 0.444136 32224.08 17627.05 62783.17 0
460 31704.55 0.5041816 31704.55 20010.17 68367.76 0
461 30676.57 0.4736318 30676.57 18797.69 54695.61 0
462 23450.13 0.3889533 23450.13 15436.94 31774.48 0
463 29506.04 0.2995479 29506.04 11888.58 43445.65 1
464 32641.43 0.403305 32641.43 16006.53 56717.67 0
465 30873.63 0.3743825 30873.63 14858.64 54602.66 0
466 27753.62 0.3854553 27753.62 15298.11 58527.79 0
467 36154.11 0.3947656 36154.11 15667.62 68722.25 0
