iter   i     a     b      Smsy      Emin
134 20 1.674494 119869.4 46057.19 19050.44
135 20 1.754476 72474.3 27426.92 19050.44
136 20 1.610556 99681.97 38762.75 19050.44
137 20 1.77638 48530.6 18288.88 14631.1
138 20 1.690173 64986.91 24895.97 19050.44
139 20 1.480189 65056.21 25913.24 19050.44
140 20 1.075642 1.066495e+12 455899073578 19050.44
141 20 1.906857 77216.61 28372.85 19050.44
142 20 1.765466 62937.13 23767.68 19014.14
143 20 1.532567 100594.5 39686.72 19050.44
144 20 1.704541 67565.26 25813.38 19050.44
145 20 1.700649 74354.42 28428.15 19050.44
146 20 1.751851 87030.99 32952.22 19050.44
147 20 1.55922 78563.6 30843.14 19050.44
148 20 1.563836 93259.99 36581.54 19050.44
149 20 1.847179 73760.91 27419.97 19050.44
150 20 2.061221 63553.4 22650.51 18120.41
151 20 1.720196 96533.21 36771.18 19050.44
152 20 1.585598 97339.28 38027.98 19050.44
153 20 1.72746 85677.61 32591.03 19050.44
154 20 1.747486 75331.76 28546.38 19050.44
155 20 1.206195 151601.9 63388.1 19050.44
156 20 1.626639 98071.52 38022.1 19050.44
157 20 1.960265 63166.02 22967.9 18374.32
158 20 1.550489 94609.75 37202.6 19050.44
159 20 1.496065 101585.3 40346.58 19050.44
160 20 1.152406 261576.5 110381 19050.44
161 20 1.520599 95720.87 37847.07 19050.44
162 20 2.416025 48861.56 16201.31 12961.05
163 20 1.887114 82931.45 30590.5 19050.44
164 20 1.891974 88428.16 32587.12 19050.44
165 20 1.482968 154513.4 61514.76 19050.44
166 20 1.324952 213629 87494.1 19050.44
167 20 0.9672225 446997.8 194524.3 19050.44
168 20 1.643965 106819.4 41279.42 19050.44
169 20 1.759004 97668.05 36929.16 19050.44
170 20 2.374072 54416.97 18200.32 14560.26
171 20 1.485127 92341.18 36748.35 19050.44
172 20 1.640187 115718.6 44750.15 19050.44
173 20 1.593856 85882.77 33500.77 19050.44
174 20 1.547654 110692.4 43549.4 19050.44
175 20 1.69322 79809.18 30556.64 19050.44
176 20 1.830453 63729.21 23767.65 19014.12
